nome palestra,discipline,indirizzo,telefono,orari di apertura,pagina web,lat,long
Centro Studi Karate Busto Arsizio,Karate,"Via Magenta 86, Busto Arsizio",+39 338 7335061,Orari da verificare,Non disponibile,45.594476,8.846735
Conceptnine,Fitness,"Via Ruggero Bonghi, Busto Arsizio",Non disponibile,Orari da verificare,Non disponibile,45.607325,8.863769
Fitup,Functional,"Corso Sempione, Busto Arsizio",Non disponibile,Aperto 24 ore su 24,Non disponibile,45.635245,8.834554
Mcfit,Fitness,"Via Busona 13, Busto Arsizio",Non disponibile,Orari da verificare,Non disponibile,45.601560,8.855045
Ptroom,Fitness,"Viale Giuseppe Borri, Busto Arsizio",Non disponibile,Orari da verificare,Non disponibile,45.604844,8.871638
Sporting Club La Terrazza,Fitness,"Via Bernardino Luini, Busto Arsizio",Non disponibile,Orari da verificare,Non disponibile,45.602457,8.847884
Area Fitness,Functional,"Via Adda, Cavaria Con Premezzo",Non disponibile,Orari da verificare,Non disponibile,45.694950,8.800678
Parco Calisthenics Di Cittiglio,Calisthenics,"Viadotto Boesio, Cittiglio",Non disponibile,Orari da verificare,Non disponibile,45.891042,8.668747
Palestra Esterna Di Cuvio,Functional,"Via Enrico Fermi, Cuvio",Non disponibile,Orari da verificare,Non disponibile,45.898967,8.735015
Actionfit Gallarate,Fitness,"Viale Milano 155, Gallarate",+39 351 319 1509,Orari da verificare,https://www.actionfit.it/,45.645957,8.817979
Gym's,Fitness,"Viale Lombardia 49, Gallarate",+39 0331 774513,Orari da verificare,https://www.gyms.it/,45.659370,8.808444
Life Village,Fitness,"Via Venti Settembre 14, Gallarate",+39 0331 1852014,Orari da verificare,Non disponibile,45.661725,8.793405
Urban Fitness,Fitness,"Viale Milano, Gallarate",Non disponibile,Orari da verificare,Non disponibile,45.656653,8.798963
You Personal Trainer,Fitness,"Viale Milano, Gallarate",Non disponibile,Orari da verificare,Non disponibile,45.653757,8.803632
Palestra Scuola Media,Fitness,"Via Moneta Caglio, Gorla Maggiore",Non disponibile,Orari da verificare,Non disponibile,45.669595,8.894571
Palestra Scuole Medie,Fitness,"Via Olona Snc, Gorla Minore",Non disponibile,Orari da verificare,Non disponibile,45.640783,8.898093
Le Officine,Fitness,"Via Brenta, Gornate Superiore",Non disponibile,Orari da verificare,https://www.forgiamobenessere.it/,45.744860,8.877257
Gymnic Club,Fitness,"Via Campo Dei Fiori, Induno Olona",Non disponibile,Orari da verificare,Non disponibile,45.839719,8.838008
Centro Lite Fitness,Fitness,"Via Martiri Patrioti 64, Malnate",+39 375 553 0991,"Lun-Ven 07:00-13:00, 14:30-21:30 | Sab 07:00-13:00",https://centroelitefitness.com/,45.796251,8.883543
Body Extreme,Fitness,"Via Cavaliere Emilio Busetti, Marchirolo",Non disponibile,Orari da verificare,Non disponibile,45.942894,8.828908
Parco Calisthenics Di Besozzo,Calisthenics,"Ciclabile Besozzo - Gavirate, Olginasio",Non disponibile,Orari da verificare,Non disponibile,45.844915,8.670730
Stadiumfit,Nuoto,"Via Leonardo Da Vinci, Olginasio",Non disponibile,Orari da verificare,Non disponibile,45.836510,8.669708
Ranco Fitness Park Post. 1,Functional,"Camminata Parco, Ranco",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.797768,8.568144
Ranco Fitness Park Post. 6,Functional,"Via Castello Inferiore, Ranco",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.796834,8.573464
Ranco Fitness Park Post. 7,Functional,"Via Lungolago, Ranco",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.793760,8.568547
Area 51,Fitness,"Via Padre Gian Battista Busnelli, Saronno",Non disponibile,Orari da verificare,Non disponibile,45.639638,9.051382
Exit Spa,Fitness,"Viale Lombardia 76, Saronno",+39 02 36726163,Orari da verificare,https://www.exitspa.it/,45.617162,9.052063
Palestra Athlon,Functional,"Via Gaudenzio Ferrari 21, Saronno",+39029623291,Lun-Ven 09:00-21:30 | Sab 09:30-17:00 | Dom 09:30-13:00,https://palestraathlon.it/,45.623827,9.031793
Olimpo 10,Fitness,"Via Dante Alighieri, Sesona",Non disponibile,Orari da verificare,Non disponibile,45.718913,8.691617
Palestra Comunale,Fitness,"Via Vittorio Veneto 30, Solbiate Arno",Non disponibile,Orari da verificare,Non disponibile,45.719599,8.818575
GR Fitness,Fitness,"Via Galileo Galilei, Somma Lombardo",+39 0331 256760,"Lun-Gio 09:00-22:00 | Mar, Ven 08:00-22:00 | Sab 10:00-13:00, 15:00-18:00 | Dom 10:00-13:00",Non disponibile,45.679905,8.717112
Canottieri Di Monate,Fitness,"Via Agostino Binda, Travedona Monate",Non disponibile,Orari da verificare,Non disponibile,45.803927,8.664732
Palestra Comunale Giulio Galli,Fitness,"Via Don Livio Tamborini, Uboldo",Non disponibile,Orari da verificare,Non disponibile,45.614742,9.008447
Ranco Fitness Park Post. 2,Functional,"Via Alberto, Uponne",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.799557,8.574319
Ranco Fitness Park Post. 3,Functional,"Via Quassa, Uponne",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.795816,8.582144
Ranco Fitness Park Post. 4,Functional,"Sentiero Sasso Cavallazzo, Uponne",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.798551,8.588623
Ranco Fitness Park Post. 5,Functional,"Via Uponne, Uponne",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",Non disponibile,45.788619,8.591582
A.s.d. Shouri Team Karate,Karate,"A.s.d. Shouri Team Karate, 82, Viale Ticino, Gavirate, Comunità Montana Valli Del Verbano, Varese, Lombardia, 21026, Italia, Varese",Non disponibile,Orari da verificare,Non disponibile,45.838689,8.704105
Bu-sen Verbano Judo,Judo,"Bu-sen Verbano Judo, Località Fornace, Parco Luogo Ameno, Germignaga, Comunità Montana Valli Del Verbano, Varese, Lombardia, 21016, Italia, Varese",Non disponibile,Orari da verificare,Non disponibile,45.989476,8.724240
Centro Sport Varese,Fitness,"Via Dalmazia, Varese",Non disponibile,Orari da verificare,Non disponibile,45.823955,8.839258
Centro Studi Karate Busto Arsizio,Karate,"Centro Studi Karate Busto Arsizio, 86, Via Magenta, Borsano, Busto Arsizio, Varese, Lombardia, 21052, Italia, Varese",Non disponibile,Orari da verificare,Non disponibile,45.594476,8.846735
Crossfit V-one,CrossFit,"Via Cesare Correnti 2, Varese",+390332262324,Orari da verificare,https://www.facebook.com/531002430306596,45.797781,8.842532
Fitactive,Functional,"Viale Belforte 7d, Varese",Non disponibile,"Aperto 24 ore su 24, 7 giorni su 7",https://fitactive.it/i-club/varese.php,45.822285,8.837670
Fiteasy,Fitness,"Via Salvore, Varese",Non disponibile,Orari da verificare,Non disponibile,45.813579,8.839193
Life Pool & Fitness,Fitness,"Via Silvestro Sanvito 105, Varese",Non disponibile,Orari da verificare,Non disponibile,45.825706,8.803543
New Way Fitness,Fitness,"Via Gerolamo Garoni 8, Varese",Non disponibile,Orari da verificare,Non disponibile,45.810268,8.818615
Omnia Gym Asd,Functional,"Via Cantoreggio 15, Varese",Non disponibile,Orari da verificare,Non disponibile,45.827096,8.800216
Yoga Studio Varese,Yoga,"Via Giuseppe Bolchini, Varese",Non disponibile,Orari da verificare,Non disponibile,45.831313,8.800402
Parco Calisthenics,Calisthenics,"Via Papa Innocenzo Undicesimo, Vedano Olona",Non disponibile,Orari da verificare,Non disponibile,45.773870,8.878631
